Term,IDF
сбермаркетинг,3.91202
алекпер,3.91202
rp,3.91202
рушд,3.91202
хирургический,3.21888
globalfilesearch,2.99573
тестовый,2.30259
саксонский,3.50656
goldman,3.21888
генерация,1.96611
уилфред,3.91202
ergebnis,3.91202
промежуток,2.52573
мпг,3.91202
существенный,1.42712
рккф,3.50656
светлый,3.91202
пасечник,3.91202
гранат,2.30259
officials,3.50656
крокодил,3.91202
вшкпиугс,3.91202
press,0.86750
сходный,2.81341
meera,3.91202
вылиться,3.50656
алгебраический,2.81341
косвенно,2.99573
джамахирия,3.50656
options,3.91202
закрепиться,2.99573
декабрь,0.32850
sirius,3.50656
карс,3.91202
татарин,2.99573
петербург,3.21888
дск,3.91202
wmccc,3.91202
чри,3.91202
ideology,3.50656
ильяс,3.50656
лог,3.50656
губерния,3.21888
сагун,3.50656
коммунизм,2.52573
перенаправление,2.12026
го,2.52573
refutations,3.91202
гальванический,3.21888
тундровый,3.91202
pocket,3.91202
shtuttgart,3.21888
blackberry,3.50656
ordinary,3.91202
сухумский,3.91202
цинь,3.50656
церковнослужитель,3.91202
стереотипный,2.99573
minaee,3.91202
высокоуровневый,2.52573
интернациональный,3.21888
риверсайда,3.50656
дени,3.91202
романов,2.99573
церемониал,3.50656
черёмушкинский,3.91202
мамор,3.91202
данько,3.91202
representations,3.91202
промысл,3.50656
халл,3.91202
англосфера,3.91202
продюсерский,3.91202
свойство,0.94161
демидовский,3.91202
профиль,2.40795
griechische,3.91202
шамин,3.50656
acoustics,3.50656
всесторонне,3.91202
указатель,3.21888
ницца,3.91202
геворкян,3.50656
listing,3.91202
плохо,2.52573
судебник,3.91202
ректорат,3.91202
документ,0.57982
дежнёв,3.50656
бурсак,3.91202
empty,3.91202
заключить,1.60944
ранжироваться,3.91202
coded,3.91202
supercalc,3.91202
вроде,2.81341
диджитал,3.91202
многообещающий,3.50656
emerging,2.81341
fanтастик,3.91202
gritz,3.91202
xii,2.52573
кузбасс,3.91202
властелин,3.50656
brilliancy,3.91202
робардс,3.91202
акмеология,2.99573
моральный,1.96611
крутовый,3.91202
отчёт,0.75502
jbl,3.50656
метрика,2.81341
civilized,3.91202
sprick,3.91202
томаш,3.91202
последовать,2.20727
свердловский,2.40795
lunar,2.99573
столбцы,3.91202
рекорд,2.40795
secure,3.91202
chernobyl,3.91202
нововременной,3.91202
filosofia,3.91202
джаннандреа,3.50656
архимандрит,3.91202
документация,2.12026
халлион,3.91202
зарезервировать,3.91202
григоренко,3.21888
хореография,3.91202
бородкин,3.50656
суицид,3.91202
нажим,3.50656
полоса,2.65926
biologists,3.91202
борьба,1.23787
скоринг,3.21888
многий,0.84397
водка,3.91202
алиев,3.91202
скобелев,3.50656
впасть,3.91202
эндшпиль,3.50656
заказчик,3.21888
лошадь,2.99573
багрицкий,3.91202
capital,2.40795
заговор,3.21888
снаружи,3.21888
расстройство,3.21888
инструментарий,3.50656
fix,3.50656
want,2.99573
получить,0.35667
rustore,3.91202
рвк,3.91202
gilead,3.50656
жильё,2.81341
фармацевтический,3.21888
появиться,0.59784
присваивать,2.81341
remains,3.50656
сбережение,2.65926
пресечение,2.99573
carragher,3.91202
зайкова,3.50656
питтсбург,3.91202
кижский,3.91202
культурный,1.42712
харолд,3.21888
юг,2.81341
осипов,1.83258
мост,2.52573
трейдинговый,3.91202
зерновые,3.50656
valentin,3.91202
жагрин,3.91202
гёттисбергский,3.91202
загрузка,2.81341
албанский,2.99573
разностный,3.21888
филат,3.91202
интерпретатор,3.21888
рокк,3.91202
фашист,3.91202
alphafold,3.50656
игрушка,2.65926
every,2.81341
holbrook,3.91202
мто,3.91202
руденко,3.50656
kazaa,3.91202
blank,3.91202
чучхе,3.91202
ny,2.81341
врать,3.91202
гудхарт,3.91202
волонтёрство,3.91202
очищение,3.91202
joueuse,3.91202
новожилов,3.91202
фантастический,2.40795
челюсть,3.91202
поэзия,3.50656
боголепов,3.91202
buckley,3.91202
позавчера,3.91202
dbase,3.50656
factorin,3.91202
книга,0.51083
properties,3.91202
penthouse,3.91202
hyperloop,3.91202
ташкент,2.81341
bottle,3.91202
angwin,3.91202
многодокументный,3.21888
comdi,3.91202
неодушевлённый,3.91202
хук,3.91202
середа,3.91202
самообучение,3.21888
рядом,1.42712
верхоянский,3.91202
крылов,2.65926
introducing,2.99573
роден,3.91202
ada,3.91202
аукционный,3.91202
timothy,3.21888
йий,3.91202
ленний,3.91202
though,3.50656
belarus,3.50656
шраманский,3.91202
конкретный,1.10866
шутить,3.50656
шествие,3.91202
тобольский,3.91202
агрохолдинг,3.50656
retrieval,3.50656
sdddhz,3.50656
коллективно,3.91202
израсходовать,3.50656
warn,3.91202
логик,2.52573
озарение,3.91202
ориентировочный,3.91202
уведомить,3.91202
умножение,3.50656
посредник,3.21888
автономизация,3.50656
войнович,3.91202
корм,3.91202
плацдарм,3.50656
фабрикация,3.91202
korea,3.50656
сэкономить,3.21888
полисексуальность,3.91202
alfa,3.91202
дошкольный,3.50656
розенталь,3.50656
example,3.50656
джерико,3.21888
гострудсберкасс,3.91202
sandbox,3.91202
объединение,1.30933
переключаться,3.91202
павлович,3.21888
посылать,3.21888
пиво,2.99573
эволюционировать,3.91202
купрум,3.91202
спорить,2.81341
конкретизация,2.12026
тетралемма,3.91202
stones,3.91202
aiq,3.91202
ичу,3.91202
выдумка,3.21888
адыгскай,3.91202
мысленно,3.91202
quotes,3.91202
моносексуальность,3.91202
gomza,3.91202
сатира,3.21888
эвристический,2.65926
неопределённый,3.50656
шведский,2.30259
кантровица,3.91202
vishnu,3.91202
формализация,2.65926
дейкстра,2.65926
кич,3.91202
